Node Number	Directional Heat Flux (W/m²)
5425	3.7955e-007
5426	3.6347e-008
5427	2.3744e-007
5428	3.4084e-007
5429	6.0267e-008
5430	-2.9245e-006
5431	-1.6915e-006
5432	-1.0711e-006
5433	-1.1185e-006
5434	-2.3608e-007
5435	1.1074e-007
5436	-4.4943e-007
5437	-6.771e-007
5438	2.9017e-006
5439	8.3368e-006
5440	2.6549e-006
5441	5.9864e-006
5442	3.2111e-006
5443	6.5826e-006
5444	5.0328e-006
5445	2.8572e-006
5446	-8.1779e-008
5447	-9.6551e-007
5448	-2.7135e-007
5449	-4.2497e-007
5450	-1.3386e-006
5451	-1.1076e-006
5452	-3.0769e-006
5453	-9.4975e-007
5454	-1.3425e-008
5455	-1.9438e-007
5456	7.5111e-007
5457	-6.8013e-007
5458	1.4813e-007
5459	1.9261e-007
5460	-8.7956e-008
5461	3.5933e-008
5462	2.0059e-007
5463	2.0135e-008
5464	-4.0157e-008
5465	1.8098e-009
5466	4.0824e-009
5467	2.1434e-007
5468	3.0272e-007
5469	4.7297e-007
5470	2.5466e-007
5471	2.0122e-007
5472	2.856e-007
5473	-8.4346e-008
5474	-2.7104e-007
5475	3.4209e-007
5476	-2.7652e-007
5477	-1.1439e-007
5478	6.8939e-008
5479	-1.6889e-007
5480	-8.2386e-008
5481	-1.3028e-007
5482	-9.48e-008
5483	-1.6145e-007
5484	-5.4466e-008
5485	-1.9937e-007
5486	2.2732e-007
5487	-9.7947e-008
5488	-6.2039e-007
5489	1.2754e-006
5490	-1.8307e-006
5491	-1.4527e-006
5492	-1.4766e-006
5493	-8.3825e-007
5494	-1.3336e-006
5495	3.171e-006
5496	4.8125e-006
5497	3.6887e-006
5498	2.0687e-006
5499	1.476e-007
5500	-7.9826e-007
5501	-8.3777e-007
5502	-1.6165e-006
5503	-1.0046e-006
5504	-1.4626e-006
5505	-1.3903e-006
5506	1.9958e-009
5507	-1.3708e-006
5508	3.3685e-006
5509	5.3611e-006
5510	4.149e-006
5511	4.707e-006
5512	9.0587e-007
5513	-8.2022e-007
5514	-6.0628e-007
5515	-9.9198e-007
5516	-1.2279e-006
5517	6.8553e-007
5518	-4.302e-007
5519	-3.4115e-007
5520	5.2966e-007
5521	4.9748e-007
5522	-1.6084e-006
5523	-5.7283e-007
5524	-6.1775e-007
5525	-7.1806e-007
5526	2.4756e-007
5527	-2.8786e-007
5528	7.1133e-008
5529	-3.9331e-007
5530	-1.3869e-006
5531	-4.1863e-006
5532	-2.1296e-006
5533	-1.2141e-006
5534	-2.6023e-007
5535	6.4528e-007
5536	1.8749e-008
5537	-1.0776e-007
5538	8.3195e-008
5539	-6.1485e-008
5540	-3.2588e-007
5541	3.1592e-007
5542	-1.726e-006
5543	-2.1436e-006
5544	-2.5427e-006
5545	-4.8518e-006
5546	1.2009e-007
5547	2.6079e-007
5548	8.4037e-007
5549	5.6913e-007
5550	5.4806e-007
5551	-6.2915e-007
5552	4.3719e-007
5553	1.518e-007
5554	3.4088e-007
5555	1.5407e-007
5556	2.736e-007
5557	1.3224e-006
5558	1.1698e-006
5559	1.0101e-006
5560	1.3649e-006
5561	1.9111e-006
5562	6.9275e-008
5563	3.4147e-008
5564	-2.1906e-008
5565	3.2604e-007
5566	2.4441e-007
5567	3.0274e-007
5568	8.1141e-007
5569	-3.3595e-007
5570	5.7053e-006
5571	2.0443e-006
5572	2.0366e-006
5573	1.3144e-006
5574	1.6322e-006
5575	2.2608e-006
5576	-1.107e-007
5577	-1.0871e-007
5578	-6.9789e-008
5579	-6.0243e-008
5580	1.3328e-007
5581	1.226e-008
5582	2.2244e-007
5583	-1.5286e-006
5584	-4.8463e-007
5585	1.5222e-006
5586	-2.362e-007
5587	-8.9881e-007
5588	-1.5903e-006
5589	-6.2972e-007
5590	-5.9685e-007
5591	-4.9132e-007
5592	-2.6893e-007
5593	-2.8475e-007
5594	-3.4672e-007
5595	-9.9227e-008
5596	-8.0561e-007
5597	-2.9784e-007
5598	-8.5764e-007
5599	-6.1163e-007
5600	-8.1997e-007
5601	-8.1313e-007
5602	-2.2056e-007
5603	6.0582e-007
5604	-3.8143e-007
5605	5.943e-007
5606	2.2935e-007
5607	-3.7984e-007
5608	5.5715e-007
5609	-1.5564e-007
5610	-6.0833e-006
5611	9.3754e-007
5612	4.8988e-008
5613	-1.0338e-006
5614	-1.2061e-006
5615	-1.0567e-006
5616	-8.4037e-007
5617	-4.7259e-007
5618	-2.0263e-007
5619	-3.1554e-006
5620	-2.2338e-006
5621	-7.6738e-008
5622	-9.76e-007
5623	-3.8072e-007
5624	-5.4154e-007
5625	-6.8743e-007
5626	-1.0151e-006
5627	-6.8636e-007
5628	-6.8057e-007
5629	-1.523e-007
5630	-5.0652e-008
5631	-1.6429e-007
5632	-4.9232e-008
5633	-3.2405e-008
5634	-5.2271e-008
5635	-7.587e-008
5636	-1.2961e-007
5637	-1.3676e-008
5638	-6.2615e-008
5639	-2.266e-007
5640	-7.9601e-007
5641	-1.4785e-007
5642	1.1148e-007
5643	-6.0547e-008
5644	-6.286e-007
5645	1.4187e-007
5646	-2.7243e-007
5647	-3.322e-007
5648	7.5432e-009
5649	-2.1377e-007
5650	1.5454e-007
5651	2.2244e-006
5652	-1.4517e-006
5653	2.5877e-007
5654	-2.402e-006
5655	-4.6842e-009
5656	1.7209e-007
5657	2.4905e-007
5658	2.3168e-008
5659	-1.9783e-008
5660	1.7603e-007
5661	3.3516e-008
5662	7.536e-008
5663	2.0517e-007
5664	-1.5239e-008
5665	7.5479e-008
5666	1.2924e-007
5667	1.0668e-007
5668	3.1973e-008
5669	2.858e-007
5670	1.5203e-007
5671	6.4277e-008
5672	3.1942e-007
5673	3.8301e-008
5674	3.8765e-008
5675	3.0707e-008
5676	-1.0688e-008
5677	3.6112e-009
5678	4.8858e-008
5679	1.4175e-009
5680	-1.6353e-008
5681	3.1262e-008
5682	-1.0145e-007
5683	1.1019e-007
5684	-3.2441e-008
5685	9.7372e-008
5686	-3.7478e-008
5687	1.7226e-008
5688	-4.422e-008
5689	-6.0879e-010
5690	-1.2094e-008
5691	-2.0251e-008
5692	-7.2329e-008
5693	-9.1399e-009
5694	-3.2082e-008
5695	6.8901e-008
5696	-2.5075e-008
5697	4.7366e-008
5698	7.0385e-008
5699	-3.9024e-008
5700	1.219e-007
5701	-1.549e-007
5702	-9.0309e-008
5703	5.6035e-008
5704	-8.0306e-008
5705	-3.8565e-008
5706	-6.9245e-008
5707	1.7218e-008
5708	4.6377e-008
5709	3.8063e-009
5710	2.9984e-009
5711	7.8875e-008
5712	9.8447e-009
5713	-1.7722e-008
5714	-8.9493e-010
5715	1.6289e-009
5716	2.7202e-008
5717	1.526e-008
5718	-3.1207e-009
5719	-6.0543e-008
5720	-7.1716e-008
5721	4.2077e-008
5722	-9.9088e-007
5723	-2.9824e-008
5724	-3.226e-007
5725	-1.5259e-008
5726	-7.7111e-009
5727	-7.8746e-008
5728	-6.896e-008
5729	6.6089e-008
5730	-1.6055e-007
5731	6.33e-008
5732	8.2387e-008
5733	-2.2603e-009
5734	-1.4837e-008
5735	2.901e-008
5736	8.7999e-008
5737	5.1063e-008
5738	-6.6814e-008
5739	-3.2414e-009
5740	5.9376e-008
5741	1.073e-007
5742	6.0153e-008
5743	7.8285e-008
5744	7.2423e-008
5745	8.6284e-008
5746	4.0726e-008
5747	6.8532e-009
5748	3.6345e-008
5749	5.9971e-008
5750	2.9802e-008
5751	-4.0702e-008
5752	4.0026e-008
5753	-2.9582e-008
5754	7.7107e-008
5755	5.296e-008
5756	7.3374e-009
5757	3.0366e-008
5758	-2.4752e-008
5759	9.1607e-009
5760	1.0046e-008
5761	4.7662e-009
5762	1.4493e-008
5763	1.4352e-007
5764	-5.1069e-008
5765	-1.0658e-008
5766	8.9709e-009
5767	-3.791e-008
5768	1.3575e-008
5769	-4.3064e-010
5770	6.0719e-009
5771	-1.3529e-008
5772	-3.0267e-008
5773	1.691e-008
5774	5.4274e-009
5775	7.25e-009
5776	3.e-008
5777	7.678e-009
5778	3.9171e-008
5779	4.3575e-008
5780	-3.4465e-008
5781	-3.5758e-008
5782	-6.9798e-009
5783	-2.6829e-008
5784	6.2928e-008
5785	3.6564e-008
5786	1.2182e-008
5787	-1.0373e-008
5788	-9.381e-010
5789	-2.2385e-008
5790	-1.8557e-008
5791	-2.5494e-008
5792	6.1687e-008
5793	-1.0485e-007
5794	7.1122e-010
5795	-2.8231e-008
5796	-4.84e-010
5797	5.8997e-008
5798	-3.6164e-008
5799	-3.0395e-008
5800	1.4719e-008
5801	3.0736e-008
5802	3.9877e-008
5803	1.1089e-007
5804	-6.658e-009
5805	8.4455e-009
5806	-9.568e-009
5807	-4.386e-007
5808	-9.4579e-008
5809	6.1071e-008
5810	7.0591e-008
5811	-2.5026e-007
5812	-9.8096e-010
5813	-2.0833e-008
5814	7.3617e-008
5815	2.9667e-009
5816	7.4427e-008
5817	4.5162e-008
5818	-3.8917e-008
5819	-3.3152e-007
5820	9.0286e-008
5821	1.1319e-007
5822	1.6704e-008
5823	3.2898e-008
5824	-1.677e-007
5825	6.6543e-008
5826	1.5241e-007
