Element Number	Volume (m³)
2632	5.6007e-008
2633	2.7997e-008
2634	1.5958e-007
2635	4.9304e-008
2636	3.0968e-007
2637	1.1083e-007
2638	3.1114e-007
2639	3.5453e-008
2640	6.4745e-007
2641	6.3746e-007
2642	1.1097e-007
2643	5.2734e-008
2644	3.3155e-007
2645	5.2325e-008
2646	1.6211e-007
2647	5.0433e-007
2648	4.6693e-007
2649	1.6659e-006
2650	2.2919e-006
2651	1.0454e-006
2652	1.414e-006
2653	1.192e-006
2654	1.5222e-006
2655	1.4637e-006
2656	2.4195e-006
2657	2.8716e-006
2658	2.8058e-006
2659	3.4956e-006
2660	2.7161e-006
2661	1.248e-006
2662	1.3503e-006
2663	1.9265e-006
2664	6.8897e-007
2665	5.4717e-006
2666	2.8581e-006
2667	3.7779e-006
2668	5.5384e-006
2669	3.9748e-006
2670	2.883e-006
2671	2.5983e-006
2672	2.1682e-006
2673	1.2098e-006
2674	2.4196e-006
2675	4.7735e-006
2676	2.3953e-006
2677	4.7217e-006
2678	4.0474e-006
2679	1.3535e-006
2680	6.9169e-007
2681	4.3873e-006
2682	3.1972e-006
2683	1.3556e-006
2684	1.4046e-006
2685	1.0238e-006
2686	2.0476e-006
2687	4.2957e-006
2688	8.5033e-006
2689	3.9905e-006
2690	5.4932e-006
2691	4.8467e-006
2692	6.784e-006
2693	4.2708e-008
2694	2.4507e-006
2695	4.1885e-006
2696	3.4648e-006
2697	3.1178e-006
2698	3.9093e-006
2699	3.2554e-006
2700	3.4462e-006
2701	2.3413e-006
2702	4.3925e-006
2703	1.4435e-006
2704	1.4301e-006
2705	3.3395e-006
2706	1.1958e-006
2707	8.6087e-007
2708	1.8377e-006
2709	7.9175e-007
2710	3.1744e-006
2711	3.7056e-006
2712	3.3895e-006
2713	3.8315e-006
2714	3.4648e-006
2715	9.0882e-007
2716	9.5892e-007
2717	1.1121e-006
2718	2.2573e-006
2719	1.3595e-006
2720	3.0138e-006
2721	2.5939e-006
2722	3.9263e-006
2723	7.6926e-007
2724	1.348e-010
2725	1.2144e-006
2726	1.0342e-006
2727	9.9572e-007
2728	1.3265e-006
2729	3.6223e-006
2730	1.5806e-006
2731	1.2368e-006
2732	3.3351e-006
2733	1.5583e-006
2734	1.1632e-006
2735	1.9504e-006
2736	1.2164e-006
2737	1.1348e-006
2738	2.2814e-006
2739	1.3987e-006
2740	7.7343e-007
2741	1.1874e-006
2742	1.5162e-006
2743	1.5207e-006
2744	2.9329e-007
2745	1.4398e-006
2746	1.306e-006
2747	1.9932e-006
2748	1.4817e-006
2749	1.6953e-007
2750	1.7203e-006
2751	1.8126e-006
2752	2.3926e-006
2753	1.5738e-006
2754	1.2314e-006
2755	1.0835e-006
2756	1.1766e-006
2757	1.4193e-006
2758	1.5416e-007
2759	2.3155e-006
2760	2.6987e-006
2761	1.6449e-006
2762	1.1523e-006
2763	1.2047e-006
2764	1.134e-006
2765	2.0826e-006
2766	1.7867e-006
2767	2.4005e-006
2768	1.2378e-006
2769	1.4224e-006
2770	2.5329e-006
2771	2.475e-006
2772	2.9152e-006
2773	1.5893e-006
2774	9.1778e-007
2775	1.7984e-006
2776	1.6314e-006
2777	2.9792e-006
2778	1.2506e-010
2779	1.1712e-006
2780	7.8196e-007
2781	2.281e-006
2782	1.895e-006
2783	1.3596e-006
2784	1.7029e-006
2785	8.6002e-008
2786	1.168e-007
2787	1.1948e-007
2788	4.194e-008
2789	4.194e-008
2790	4.194e-008
2791	1.1047e-007
2792	3.3293e-008
2793	2.3405e-007
2794	3.4163e-008
2795	3.3503e-008
2796	3.3293e-008
2797	4.6135e-008
2798	9.0454e-008
2799	3.3293e-008
2800	6.1763e-008
2801	1.6881e-007
2802	2.3405e-007
2803	5.2093e-008
2804	2.5035e-007
2805	1.1047e-007
2806	2.0881e-008
2807	1.1047e-007
2808	3.5686e-008
2809	1.6881e-007
2810	3.5686e-008
2811	5.4138e-008
2812	1.1047e-007
2813	1.1333e-007
2814	6.1763e-008
2815	4.6135e-008
2816	4.1756e-008
2817	4.1756e-008
2818	6.1089e-008
2819	5.6408e-008
2820	7.2639e-008
2821	4.2736e-008
2822	5.6408e-008
2823	5.6408e-008
2824	4.0919e-008
2825	6.7334e-008
2826	6.7334e-008
2827	4.0919e-008
2828	9.4924e-006
2829	2.9182e-006
2830	3.6627e-006
2831	3.3537e-006
2832	4.1904e-006
2833	6.9375e-006
2834	6.2856e-006
2835	6.81e-006
2836	5.9282e-006
2837	3.5905e-006
2838	5.0419e-007
2839	1.9709e-006
2840	1.3632e-007
2841	7.0849e-008
2842	2.5209e-007
2843	2.6794e-007
2844	4.1326e-007
2845	2.2336e-007
2846	5.2512e-007
2847	2.2692e-006
2848	2.4742e-007
2849	6.9401e-006
2850	4.9604e-006
2851	9.206e-006
2852	6.4688e-006
2853	4.9934e-006
2854	9.2529e-006
2855	6.9558e-006
2856	7.9934e-007
2857	3.9967e-007
2858	7.0444e-007
2859	1.3322e-007
2860	4.2853e-007
2861	2.9236e-007
2862	6.6611e-008
2863	1.0569e-007
2864	1.5545e-007
2865	2.3874e-007
2866	4.7748e-007
2867	2.2779e-006
2868	2.991e-007
2869	5.8789e-007
2870	9.2954e-008
2871	1.1522e-006
2872	3.8922e-006
2873	3.7908e-007
2874	6.318e-008
2875	8.4563e-007
2876	3.6048e-007
2877	4.1053e-006
2878	3.8134e-006
2879	3.2959e-006
2880	2.8161e-007
2881	3.3965e-006
2882	1.0456e-006
2883	1.2785e-007
2884	7.769e-008
2885	8.2423e-007
2886	1.2426e-006
2887	2.1872e-006
2888	3.8453e-008
2889	6.4033e-008
2890	3.8453e-008
2891	7.0902e-008
2892	7.6545e-008
2893	6.4033e-008
2894	5.7864e-008
2895	1.5812e-006
2896	3.4749e-008
2897	5.7864e-008
2898	1.141e-007
2899	3.4749e-008
2900	1.5905e-007
2901	6.002e-008
2902	6.7071e-008
2903	3.8254e-007
2904	6.3458e-008
2905	1.7314e-006
2906	1.4884e-006
2907	1.5872e-006
2908	3.6293e-007
2909	2.6374e-007
2910	6.015e-007
2911	1.3721e-006
2912	4.8573e-008
2913	1.2698e-007
2914	1.0677e-007
2915	4.8559e-008
2916	1.1655e-007
2917	1.0671e-007
2918	4.3559e-008
2919	2.2066e-007
2920	5.5831e-007
2921	1.3156e-007
2922	8.3425e-008
2923	4.9326e-008
2924	3.8426e-008
2925	5.6353e-008
2926	6.3989e-008
2927	7.2892e-007
2928	6.3989e-008
2929	3.8426e-008
2930	7.4436e-008
2931	5.1675e-008
2932	7.3433e-008
2933	1.5058e-007
2934	9.0167e-008
2935	4.0985e-008
2936	5.424e-008
2937	3.0416e-007
2938	4.0386e-008
2939	3.5015e-007
2940	5.9931e-008
2941	6.6523e-008
2942	9.153e-007
2943	1.0198e-006
2944	3.4667e-007
2945	8.0542e-008
2946	5.2651e-008
2947	5.5453e-007
2948	1.0675e-007
2949	4.7373e-008
2950	5.7814e-008
2951	4.3582e-008
2952	1.2614e-007
2953	5.5399e-008
2954	7.3569e-008
2955	1.1727e-007
2956	5.3067e-008
2957	9.3297e-008
2958	2.069e-007
2959	2.1754e-007
2960	1.6302e-007
2961	8.7419e-008
2962	6.3997e-008
2963	4.2039e-008
2964	6.9759e-008
2965	6.9858e-008
2966	8.0984e-008
2967	1.5634e-007
2968	1.6098e-007
2969	2.2227e-007
2970	1.8858e-007
2971	2.142e-007
2972	2.0631e-007
2973	3.7328e-008
2974	1.4766e-007
2975	3.89e-007
2976	5.166e-008
2977	3.2477e-007
2978	5.3437e-007
2979	5.8313e-007
2980	5.1779e-008
2981	9.2735e-008
2982	6.7094e-008
2983	1.9924e-007
2984	4.6215e-008
2985	6.3512e-008
2986	2.3052e-007
2987	6.392e-008
2988	5.9507e-008
2989	1.718e-007
2990	7.6567e-008
2991	1.8109e-007
2992	3.3848e-008
2993	7.9539e-008
2994	1.3208e-006
2995	7.5419e-007
2996	1.9809e-006
2997	5.5438e-007
2998	1.6228e-007
2999	9.2453e-008
3000	5.1317e-008
3001	6.1877e-008
3002	3.2313e-007
3003	7.8134e-008
3004	1.9861e-007
3005	2.0779e-007
3006	1.3513e-007
3007	1.7267e-007
3008	2.6782e-007
3009	1.93e-007
3010	1.1793e-007
3011	8.1683e-008
3012	1.731e-007
3013	2.9352e-007
3014	3.3691e-008
3015	5.8798e-008
3016	7.771e-008
3017	4.5232e-008
3018	7.68e-008
3019	2.2299e-007
3020	3.321e-008
3021	5.9995e-008
3022	4.6173e-008
3023	1.0347e-007
3024	4.5005e-008
3025	4.4164e-008
3026	1.1269e-007
3027	1.6058e-007
3028	5.8885e-008
3029	5.8678e-008
3030	4.0552e-008
3031	5.7154e-008
3032	4.3904e-008
3033	2.0198e-007
3034	1.3894e-007
3035	3.9737e-008
3036	1.2197e-007
3037	4.2496e-008
3038	1.3808e-007
3039	6.5104e-008
3040	6.0702e-008
3041	5.9601e-008
3042	4.4295e-008
3043	4.4623e-008
3044	4.2323e-008
3045	4.5181e-008
3046	1.5724e-007
3047	1.5773e-007
3048	1.3351e-007
3049	3.3116e-008
3050	3.416e-008
3051	5.019e-008
3052	3.7144e-008
3053	1.5709e-007
3054	3.7766e-008
3055	1.3162e-007
3056	9.6822e-008
3057	1.8709e-007
3058	1.1025e-007
3059	3.8088e-008
3060	8.8627e-008
3061	4.182e-008
3062	3.7608e-008
3063	1.1701e-007
3064	9.1795e-008
3065	1.4418e-007
3066	1.4547e-007
3067	1.4893e-007
3068	1.8753e-007
3069	7.7043e-008
3070	8.0467e-008
3071	5.1368e-008
3072	4.6908e-007
3073	1.6054e-007
3074	5.3084e-008
3075	1.6749e-007
3076	1.6278e-007
3077	3.1602e-008
3078	3.175e-008
3079	4.8535e-008
3080	3.5078e-008
3081	1.6058e-007
3082	3.5723e-008
3083	1.2418e-007
3084	9.8676e-008
3085	3.8063e-008
3086	1.0414e-007
3087	8.6825e-008
3088	2.1099e-007
3089	1.1235e-007
3090	3.8802e-008
3091	4.3175e-008
3092	1.469e-007
3093	9.0669e-008
3094	1.4098e-007
3095	1.5509e-007
3096	2.7681e-008
3097	3.3725e-007
3098	2.9236e-007
3099	1.6291e-007
3100	8.3434e-008
3101	1.8965e-007
3102	1.6376e-007
3103	3.8678e-007
3104	3.12e-007
3105	2.7681e-008
3106	4.2658e-007
3107	3.008e-007
3108	5.0237e-008
3109	7.4619e-008
3110	7.4451e-008
3111	1.6776e-007
3112	4.9613e-008
3113	6.9626e-008
3114	1.4765e-007
3115	4.8133e-008
3116	1.6095e-007
3117	5.1419e-008
3118	6.5831e-008
3119	1.4709e-007
3120	1.5929e-007
3121	3.5626e-008
3122	3.7192e-008
3123	3.3629e-008
3124	3.3625e-008
3125	3.3689e-008
3126	3.5343e-008
3127	3.6973e-008
3128	3.7192e-008
3129	3.579e-008
3130	3.4972e-008
3131	3.3668e-008
3132	2.2601e-008
3133	3.691e-008
3134	1.3596e-008
3135	1.959e-007
3136	1.0084e-007
3137	4.0979e-008
3138	1.9849e-007
3139	1.3596e-008
3140	3.5883e-008
3141	5.0138e-008
3142	4.2252e-008
3143	5.4747e-008
3144	2.3e-007
3145	4.0419e-008
3146	3.7808e-008
3147	5.6939e-008
3148	5.6223e-008
3149	6.027e-008
3150	8.7536e-008
3151	1.0497e-007
3152	1.3787e-007
3153	1.9174e-007
3154	4.1176e-008
3155	5.7406e-008
3156	1.2482e-007
3157	1.5263e-007
3158	1.9548e-007
3159	1.7865e-007
3160	1.2663e-007
3161	5.4218e-008
3162	2.9079e-008
3163	6.475e-008
3164	3.035e-008
3165	1.8483e-007
3166	9.2233e-008
3167	7.76e-008
3168	1.4142e-008
3169	4.9885e-008
3170	5.5919e-008
3171	5.8651e-008
3172	9.6682e-008
3173	7.1602e-008
3174	1.1001e-007
3175	5.2243e-008
3176	7.6489e-008
3177	9.4379e-008
3178	2.9743e-007
3179	9.3779e-008
3180	7.7942e-008
3181	2.1629e-007
3182	2.8836e-006
3183	2.5216e-006
3184	1.2966e-006
3185	2.6954e-006
3186	1.464e-006
3187	2.5799e-006
3188	1.7785e-006
3189	1.3158e-006
3190	1.6182e-006
3191	1.4635e-006
3192	3.7407e-007
3193	3.0135e-007
3194	8.8413e-007
3195	2.8528e-007
3196	8.9685e-007
3197	1.6161e-006
3198	1.4042e-006
3199	1.725e-006
3200	1.1201e-006
3201	1.2503e-006
3202	9.9475e-007
3203	2.6263e-006
3204	2.2436e-006
3205	3.1933e-006
3206	3.4905e-006
3207	2.7563e-006
3208	3.2824e-006
3209	2.5903e-006
3210	2.828e-006
3211	5.0698e-006
3212	4.495e-006
3213	2.2712e-007
3214	4.6078e-007
3215	9.7439e-008
3216	6.7314e-007
3217	9.4346e-007
3218	7.1903e-007
3219	5.3952e-007
3220	8.8065e-007
3221	1.4441e-006
3222	7.9203e-007
3223	1.2879e-006
3224	1.6356e-006
3225	2.1371e-006
3226	1.2385e-006
3227	1.7244e-006
3228	2.7062e-006
3229	1.8884e-006
3230	8.5139e-007
3231	8.4215e-007
3232	1.5394e-006
3233	8.4723e-007
3234	8.5465e-007
3235	3.6895e-006
3236	2.0174e-006
3237	5.701e-007
3238	5.504e-007
3239	7.4877e-007
3240	7.4877e-007
3241	6.7242e-007
3242	6.4292e-007
3243	6.6875e-007
3244	6.1258e-007
3245	1.1596e-006
3246	1.3087e-006
3247	1.8338e-006
3248	1.2603e-006
3249	8.352e-007
3250	5.2869e-007
3251	5.0724e-007
3252	6.9006e-007
3253	5.7095e-007
3254	4.0639e-007
3255	2.7513e-007
3256	2.7077e-007
3257	5.3651e-007
3258	2.9106e-007
3259	7.8733e-008
3260	8.3068e-008
3261	2.2885e-007
3262	9.2983e-007
3263	5.932e-007
3264	1.0198e-006
3265	1.3671e-007
3266	1.9506e-007
3267	5.721e-007
3268	1.3969e-007
3269	3.0267e-007
3270	1.0043e-007
3271	1.6246e-007
3272	7.3043e-007
3273	1.1754e-006
3274	1.8848e-007
3275	1.7436e-007
3276	1.8241e-007
3277	4.5123e-007
3278	4.4748e-007
3279	1.5442e-007
3280	1.8691e-007
3281	2.0524e-007
3282	1.783e-007
3283	4.7293e-007
3284	7.0139e-007
3285	4.7928e-007
3286	3.0043e-007
3287	4.6937e-007
3288	2.8751e-007
3289	4.2644e-007
3290	4.3763e-007
3291	1.589e-007
3292	1.6984e-007
3293	2.8356e-007
3294	1.3427e-007
3295	1.3224e-007
3296	1.6255e-007
3297	1.504e-007
3298	4.2679e-007
3299	4.9609e-007
3300	4.0089e-007
3301	2.3762e-007
3302	1.546e-007
3303	2.7596e-007
3304	3.3945e-007
3305	1.7716e-007
3306	2.9483e-007
3307	6.9613e-007
3308	6.2641e-007
3309	1.1848e-007
3310	2.1301e-007
3311	7.8762e-007
3312	1.7409e-007
3313	3.3647e-007
3314	1.5611e-007
3315	2.0545e-007
3316	8.1935e-007
3317	2.0127e-007
3318	3.5766e-007
3319	1.6076e-006
3320	1.0589e-006
3321	2.463e-006
3322	2.3623e-006
3323	6.6512e-007
3324	8.6681e-007
3325	7.573e-007
3326	7.0231e-007
3327	9.3316e-007
3328	7.4923e-007
3329	6.1475e-007
3330	5.9258e-007
3331	1.4196e-006
3332	1.4753e-006
3333	1.6327e-006
3334	1.7907e-007
3335	2.1168e-007
3336	1.1336e-006
3337	1.4454e-006
3338	7.4968e-007
3339	1.3933e-006
3340	2.2884e-006
3341	9.5216e-008
